351,0.0481,
352,0.0512,
353,0.057,
354,0.0539,
355,0.0557,
356,0.059,
357,0.0616,
358,0.0646,
359,0.0662,
360,0.0685,
361,0.0723,
362,0.0729,
363,0.0756,
364,0.0798,
365,0.0814,
366,0.0841,
367,0.0875,
368,0.0909,
369,0.0921,
370,0.0955,
371,0.0984,
372,0.1002,
373,0.1011,
374,0.1078,
375,0.1103,
376,0.1123,
377,0.116,
378,0.1174,
379,0.1217,
380,0.125,
381,0.1269,
382,0.1296,
383,0.1324,
384,0.1349,
385,0.1363,
386,0.1393,
387,0.1429,
388,0.1442,
389,0.1465,
390,0.148,
391,0.1513,
392,0.1541,
393,0.1561,
394,0.1582,
395,0.1604,
396,0.1622,
397,0.1646,
398,0.1651,
399,0.1671,
400,0.1683,
401,0.1682,
402,0.17,
403,0.1701,
404,0.171,
405,0.1732,
406,0.1732,
407,0.1742,
408,0.1763,
409,0.1768,
410,0.1776,
411,0.1797,
412,0.1818,
413,0.184,
414,0.1858,
415,0.1879,
416,0.1901,
417,0.1933,
418,0.1967,
419,0.1992,
420,0.2028,
421,0.2052,
422,0.2079,
423,0.2113,
424,0.2147,
425,0.218,
426,0.2218,
427,0.2254,
428,0.2299,
429,0.2355,
430,0.2408,
431,0.2456,
432,0.2518,
433,0.2583,
434,0.2661,
435,0.2741,
436,0.2832,
437,0.2918,
438,0.3018,
439,0.3141,
440,0.3248,
441,0.337,
442,0.3496,
443,0.3629,
444,0.3766,
445,0.3915,
446,0.4072,
447,0.4225,
448,0.4393,
449,0.4558,
450,0.4734,
451,0.4898,
452,0.508,
453,0.5254,
454,0.5431,
455,0.561,
456,0.5785,
457,0.5951,
458,0.6119,
459,0.6284,
460,0.6438,
461,0.6601,
462,0.6744,
463,0.6887,
464,0.7018,
465,0.7151,
466,0.7277,
467,0.7397,
468,0.7524,
469,0.7647,
470,0.7771,
471,0.7889,
472,0.8017,
473,0.8143,
474,0.8286,
475,0.8418,
476,0.8561,
477,0.8705,
478,0.8846,
479,0.9003,
480,0.9151,
481,0.929,0
482,0.9436,
483,0.9568,
484,0.9691,
485,0.9793,
486,0.9885,
487,0.9939,
488,0.9982,
489,1.0,0.1
490,0.9969,
491,0.9908,
492,0.9797,
493,0.964,0
494,0.9442,
495,0.9194,
496,0.8904,
497,0.8561,
498,0.8188,
499,0.7775,
500,0.7346,
501,0.6874,
502,0.6399,
503,0.5906,
504,0.5428,
505,0.493,0
506,0.4459,
507,0.3996,
508,0.3548,
509,0.3136,
510,0.2747,
511,0.2376,
512,0.2042,
513,0.1747,
514,0.1469,
515,0.1229,
516,0.1015,
517,0.0838,
518,0.0686,
519,0.0553,
520,0.0454,
521,0.0362,
522,0.0307,
523,0.0257,
524,0.0212,
525,0.0178,
526,0.0157,
527,0.0138,
528,0.0122,
529,0.0109,
530,0.0093,
531,0.0083,
532,0.0073,
533,0.0064,
534,0.0059,
535,0.0051,
536,0.0054,
537,0.0052,
538,0.0048,
539,0.0047,
540,0.0044,
541,0.005,0
542,0.0056,
543,0.0053,
544,0.0054,
545,0.0053,
546,0.0046,
547,0.0058,
548,0.0057,
549,0.0061,
550,0.0059,
551,0.005,0
552,0.0049,
553,0.0043,
554,0.0044,
555,0.0042,
556,0.0044,
557,0.004,0
558,0.0046,
559,0.0036,
560,0.0054,
561,0.0043,
562,0.0036,
563,0.0038,
564,0.0036,
565,0.0044,
566,0.005,0
567,0.0041,
568,0.0037,
569,0.0034,
570,0.0042,
571,0.0041,
572,0.0047,
573,0.004,0
574,0.0041,
575,0.0045,
576,0.0047,
577,0.0053,
578,0.0043,
579,0.0046,
580,0.0038,
581,0.0042,
582,0.0041,
583,0.0038,
584,0.0045,
585,0.0044,
586,0.0041,
587,0.0041,
588,0.0048,
589,0.0042,
590,0.0043,
591,0.0042,
592,0.0038,
593,0.004,0
594,0.0047,
595,0.0044,
596,0.0032,
597,0.0034,
598,0.0034,
599,0.0037,
600,0.0036,
